week_date,region,platform,segment,customer_type,transaction,sales
31-08-2020,ASIA,Retail,C3,New,120631,3656163
31-08-2020,ASIA,Retail,F1,New,31574,996575
31-08-2020,USA,Retail,null,Guest,529151,16509610
31-08-2020,EUROPE,Retail,C1,New,4517,141942
31-08-2020,AFRICA,Retail,C2,New,58046,1758388
31-08-2020,CANADA,Shopify,F2,Existing,1336,243878
31-08-2020,AFRICA,Shopify,F3,Existing,2514,519502
31-08-2020,ASIA,Shopify,F1,Existing,2158,371417
31-08-2020,AFRICA,Shopify,F2,New,318,49557
31-08-2020,AFRICA,Retail,C3,New,111032,3888162
31-08-2020,USA,Shopify,F1,Existing,1398,260773
31-08-2020,OCEANIA,Shopify,C2,Existing,4661,882690
31-08-2020,SOUTH AMERICA,Retail,C2,Existing,1029,38762
31-08-2020,SOUTH AMERICA,Shopify,C4,New,6,917
31-08-2020,EUROPE,Shopify,F3,Existing,115,35215
31-08-2020,OCEANIA,Retail,F3,Existing,551905,30371770
31-08-2020,ASIA,Shopify,C3,Existing,1969,374327
31-08-2020,AFRICA,Retail,F1,Existing,97604,5185233
31-08-2020,OCEANIA,Retail,C2,New,111219,2980673
31-08-2020,USA,Retail,F1,New,11820,463738
31-08-2020,SOUTH AMERICA,Retail,F3,Existing,1363,65730
31-08-2020,AFRICA,Retail,C3,Existing,284971,14430196
31-08-2020,ASIA,Retail,F2,New,70496,2176980
31-08-2020,AFRICA,Shopify,F1,Existing,2678,478756
31-08-2020,USA,Shopify,C4,New,22,3319
31-08-2020,CANADA,Retail,F3,Existing,94274,5306746
31-08-2020,ASIA,Retail,F1,Existing,94287,4511841
31-08-2020,EUROPE,Retail,null,New,3064,134249
31-08-2020,EUROPE,Shopify,F1,New,7,1579
31-08-2020,SOUTH AMERICA,Retail,C4,New,329,11451
31-08-2020,SOUTH AMERICA,Retail,F1,Existing,854,31589
31-08-2020,EUROPE,Shopify,C2,Existing,180,53567
31-08-2020,EUROPE,Shopify,F2,New,15,4023
31-08-2020,AFRICA,Retail,C2,Existing,112361,4768214
31-08-2020,ASIA,Shopify,C2,Existing,2269,396909
31-08-2020,AFRICA,Shopify,C4,New,58,8562
31-08-2020,USA,Retail,F3,Existing,142898,8723663
31-08-2020,OCEANIA,Shopify,C3,Existing,4703,957939
31-08-2020,SOUTH AMERICA,Shopify,null,New,40,7625
31-08-2020,USA,Shopify,C1,New,164,20635
31-08-2020,SOUTH AMERICA,Shopify,C1,New,20,2265
31-08-2020,EUROPE,Retail,C1,Existing,14583,633917
